# of predictors,i,predictors,fold,mcc
2,69,0|10,3,0.14306145536992812
2,69,0|10,4,0.025854384499750957
2,70,2|7,0,0.385006278487256
2,70,2|7,1,0.2953269258571919
2,70,2|7,2,0.3847123307304155
2,70,2|7,3,0.44379669164255897
2,70,2|7,4,0.6004325171766376
2,71,6|8,0,0.2902457902226609
2,71,6|8,1,0.27009724765160487
2,71,6|8,2,0.4522150818395613
2,71,6|8,3,-0.012108986992412068
2,71,6|8,4,0.5102496096121558
2,72,0|1,0,0.2345787158142091
2,72,0|1,1,0.20515105781286902
2,72,0|1,2,0.5438556493451501
2,72,0|1,3,0.15264478307271032
2,72,0|1,4,0.45217785149669176
2,73,1|3,0,0.22824095483457055
2,73,1|3,1,0.2345787158142091
2,73,1|3,2,0.3487336995594646
2,73,1|3,3,0.20661551153014437
2,73,1|3,4,0.4112489110333541
2,74,4|8,0,0.2539166875385041
2,74,4|8,1,0.306538295791215
2,74,4|8,2,0.4353577159671462
2,74,4|8,3,0.13959139006150975
2,74,4|8,4,0.5256238691727411
2,75,7|8,0,0.29095718698132317
2,75,7|8,1,0.2232952478719928
2,75,7|8,2,0.18499891602515212
2,75,7|8,3,0.18735992234901797
2,75,7|8,4,0.39260951177856473
2,76,2|4,0,0.3525079774951049
2,76,2|4,1,0.24873951240050257
2,76,2|4,2,0.33904372305921493
2,76,2|4,3,0.12338837772901592
2,76,2|4,4,0.3245567418059366
2,77,3|6,0,0.31010797107635474
2,77,3|6,1,0.14918791254013122
2,77,3|6,2,0.22796851407482258
2,77,3|6,3,0.007128958311269378
2,77,3|6,4,0.5157266969762434
2,78,0|7,0,0.11194882644037217
2,78,0|7,1,0.15043285463301695
2,78,0|7,2,0.283662385609074
2,78,0|7,3,-0.10129168737870824
2,78,0|7,4,0.3353105352955882
2,79,1|5,0,0.38898363554390464
2,79,1|5,1,0.2937594193904019
2,79,1|5,2,0.3981381186150431
2,79,1|5,3,0.3535533905932738
2,79,1|5,4,0.42783475900050916
2,80,9|10,0,0.33127067443445657
2,80,9|10,1,0.2719478272743048
2,80,9|10,2,0.3421995739711804
2,80,9|10,3,-0.03627381250550058
2,80,9|10,4,0.25334729596906996
2,81,3|7,0,0.3173563700567913
2,81,3|7,1,0.19258864052016603
2,81,3|7,2,0.28168113585237115
2,81,3|7,3,0.22396542957264567
2,81,3|7,4,0.44428376033959704
2,82,8|10,0,0.2548509505142025
2,82,8|10,1,0.34207444419765465
2,82,8|10,2,0.5664093865889943
2,82,8|10,3,0.09980541635777128
2,82,8|10,4,0.44421088265673625
2,83,4|9,0,0.2870165128772088
2,83,4|9,1,0.31734855240510645
2,83,4|9,2,0.4167155425219941
2,83,4|9,3,0.1554436081179078
2,83,4|9,4,0.5693803327298946
2,84,3|6,0,0.31010797107635474
2,84,3|6,1,0.14918791254013122
2,84,3|6,2,0.22796851407482258
2,84,3|6,3,0.007128958311269378
2,84,3|6,4,0.5157266969762434
2,85,6|8,0,0.2902457902226609
2,85,6|8,1,0.27009724765160487
2,85,6|8,2,0.4522150818395613
2,85,6|8,3,-0.012108986992412068
2,85,6|8,4,0.5102496096121558
2,86,6|9,0,0.28525463876807
2,86,6|9,1,0.17612204404281287
2,86,6|9,2,0.4527343001960224
2,86,6|9,3,0.08446557856466828
2,86,6|9,4,0.4958344150970749
2,87,3|7,0,0.3173563700567913
2,87,3|7,1,0.19258864052016603
2,87,3|7,2,0.28168113585237115
